Id,unicef_region,iso3,country,vaccine,Ano,Taxa
87,Latin America & Caribbean,BRA,Brazil,DTP3,2012,95
88,Latin America & Caribbean,BRA,Brazil,HEPB3,2012,96
89,Latin America & Caribbean,BRA,Brazil,HEPBB,2012,90
90,Latin America & Caribbean,BRA,Brazil,HIB3,2012,95
91,Latin America & Caribbean,BRA,Brazil,IPV1,2012,
92,Latin America & Caribbean,BRA,Brazil,MCV1,2012,99
93,Latin America & Caribbean,BRA,Brazil,MCV2,2012,70
94,Latin America & Caribbean,BRA,Brazil,PCV3,2012,88
95,Latin America & Caribbean,BRA,Brazil,POL3,2012,96
96,Latin America & Caribbean,BRA,Brazil,RCV1,2012,99
97,Latin America & Caribbean,BRA,Brazil,ROTAC,2012,86
98,Latin America & Caribbean,BRA,Brazil,YFV,2012,42
99,Latin America & Caribbean,BRA,Brazil,BCG,2011,99
100,Latin America & Caribbean,BRA,Brazil,DTP1,2011,99
101,Latin America & Caribbean,BRA,Brazil,DTP3,2011,99
102,Latin America & Caribbean,BRA,Brazil,HEPB3,2011,98
103,Latin America & Caribbean,BRA,Brazil,HEPBB,2011,91
104,Latin America & Caribbean,BRA,Brazil,HIB3,2011,99
105,Latin America & Caribbean,BRA,Brazil,IPV1,2011,
106,Latin America & Caribbean,BRA,Brazil,MCV1,2011,99
107,Latin America & Caribbean,BRA,Brazil,MCV2,2011,71
108,Latin America & Caribbean,BRA,Brazil,PCV3,2011,82
109,Latin America & Caribbean,BRA,Brazil,POL3,2011,98
110,Latin America & Caribbean,BRA,Brazil,RCV1,2011,99
111,Latin America & Caribbean,BRA,Brazil,ROTAC,2011,87
112,Latin America & Caribbean,BRA,Brazil,YFV,2011,37
113,Latin America & Caribbean,BRA,Brazil,BCG,2010,99
114,Latin America & Caribbean,BRA,Brazil,DTP1,2010,99
115,Latin America & Caribbean,BRA,Brazil,DTP3,2010,99
116,Latin America & Caribbean,BRA,Brazil,HEPB3,2010,96
117,Latin America & Caribbean,BRA,Brazil,HEPBB,2010,92
118,Latin America & Caribbean,BRA,Brazil,HIB3,2010,99
119,Latin America & Caribbean,BRA,Brazil,IPV1,2010,
120,Latin America & Caribbean,BRA,Brazil,MCV1,2010,99
121,Latin America & Caribbean,BRA,Brazil,MCV2,2010,53
122,Latin America & Caribbean,BRA,Brazil,PCV3,2010,24
123,Latin America & Caribbean,BRA,Brazil,POL3,2010,99
124,Latin America & Caribbean,BRA,Brazil,RCV1,2010,99
125,Latin America & Caribbean,BRA,Brazil,ROTAC,2010,83
126,Latin America & Caribbean,BRA,Brazil,YFV,2010,34
127,Latin America & Caribbean,BRA,Brazil,BCG,2009,99
128,Latin America & Caribbean,BRA,Brazil,DTP1,2009,99
129,Latin America & Caribbean,BRA,Brazil,DTP3,2009,99
130,Latin America & Caribbean,BRA,Brazil,HEPB3,2009,99
131,Latin America & Caribbean,BRA,Brazil,HEPBB,2009,92
132,Latin America & Caribbean,BRA,Brazil,HIB3,2009,99
133,Latin America & Caribbean,BRA,Brazil,IPV1,2009,
134,Latin America & Caribbean,BRA,Brazil,MCV1,2009,99
135,Latin America & Caribbean,BRA,Brazil,MCV2,2009,55
136,Latin America & Caribbean,BRA,Brazil,PCV3,2009,
137,Latin America & Caribbean,BRA,Brazil,POL3,2009,99
138,Latin America & Caribbean,BRA,Brazil,RCV1,2009,99
139,Latin America & Caribbean,BRA,Brazil,ROTAC,2009,86
140,Latin America & Caribbean,BRA,Brazil,YFV,2009,34
